id	Minimum free energy	Protein abundance
1_11322123_1	-11.7	40.5303570843382
1_11331123_1	-11.6	44.2188407628374
1_11331211_3	-14.1	26.4559755313713
1_11331213_1	-12.9	54.3282588699451
1_11332112_2	-12.3	12.1094017109057
1_12111111_1	-8.8	63.8216343645173
1_12111121_2	-8.7	78.348600757667
1_12111123_1	-10.5	18.1773207883669
1_12111221_1	-7.6	54.068388703635
1_12121123_1	-10.8	17.8476137449353
1_12122111_2	-11.3	47.5567087504198
1_12122112_3	-8.8	21.020180375902
1_12211123_1	-9.5	74.2159591661011
1_12212113_2	-9.1	60.759105064298
1_12221221_2	-8	88.2137546784826
1_12311123_3	-8.7	57.9303703554175
1_12312112_3	-8	82.5137991053476
1_12321113_1	-9.9	42.2501224712253
1_12321122_3	-8.4	60.8545511597401
1_12322113_2	-10.6	11.4352633651988
1_12331213_1	-7.7	15.5284161819256
1_12331222_3	-9.6	22.8248473168499
1_12332123_2	-7.9	21.596211156337
1_13111111_1	-5.3	40.3890018084697
1_13111121_1	-6.1	88.2962332845636
1_13111211_1	-6	57.4131962292295
1_13111221_1	-7.4	84.4768269397789
1_13111222_3	-6.6	74.9561343931688
1_13121121_2	-7.1	45.1134693894247
1_13121213_1	-6.4	26.5313971338447
1_13131113_3	-6.8	20.3809018483329
1_13131123_1	-7.1	44.5615595928097
1_13131212_1	-7.4	22.8536531781193
1_13131213_1	-5.2	41.7148944567163
1_13211112_3	-7.1	69.761767438356
1_13211123_2	-6.2	92.9365263599157
1_13211221_2	-6.1	54.3067705222555
1_13221112_2	-7.1	25.7868199959473
1_13221221_2	-6.9	56.7454297682415
1_13311113_1	-6.6	84.5444762832581
1_13311122_1	-7.3	37.3355386365325
1_13311123_1	-6.3	93.4301982293711
1_13312113_1	-4.6	63.7807955375089
1_13312122_3	-6.5	90.5741043990031
1_13321112_1	-7.2	84.3130230931029
1_13321113_1	-6.7	88.0175318445045
1_13321212_1	-6.6	45.3690960699046
1_13321223_1	-6.9	66.0376382548891
1_13322112_2	-6.2	85.2463660319553
1_13332112_3	-7.1	26.0404965440784
1_21111123_2	-12.5	51.8002929297309
1_21111221_1	-12.5	42.8254014152908
1_21121123_2	-11.8	2.53472871508581
1_21122122_2	-11.8	14.6743522845492
1_21131221_3	-11.9	42.1054278040463
1_21212123_2	-11.9	27.2249579714962
1_21221123_2	-13.6	15.0564599462275
1_21231112_3	-12.2	14.9206942283181
1_21231122_3	-11.8	44.4652267132427
1_21231211_2	-12.5	71.808703133363
1_21312112_2	-11.6	60.3075963952127
1_21331221_2	-12.9	29.4328616316244
1_22111121_3	-8.9	42.02091670921
1_22112123_3	-7.7	60.0613310614782
1_22121113_2	-9	56.643950233585
1_22121211_1	-8	49.3243820051585
1_22121221_2	-9	83.0667001807707
1_22122112_2	-7.9	76.8353530719652
1_22131211_2	-8.7	47.8336896869759
1_22131221_1	-10.4	40.0267467056001
1_22131223_1	-10.3	58.8214365305433
1_22231211_3	-8.3	56.5972393796937
1_22311223_2	-9.9	74.9136723965065
1_22312113_2	-9	70.8293853812117
1_23111111_1	-6.8	87.0008204563357
1_23111221_2	-5.4	85.1942161788568
1_23111223_2	-6.1	53.6373552214191
1_23121212_2	-7.4	35.9694253297308
1_23131222_2	-5.7	33.2843129275706
1_23211213_3	-7.2	47.5411936689496
1_23231222_2	-6.9	99.6108923866984
1_23311111_1	-6.4	99.527806898454
1_23311113_1	-6.2	75.0805088017422
1_23311211_1	-6.5	60.8600614074508
1_23311213_1	-4.9	76.7716139064072
1_23311221_2	-6.4	90.198098118436
1_23321211_1	-7.3	52.3367019091571
1_23321213_2	-5.9	95.0572672615262
1_23321221_2	-6.1	16.6600878027143
1_23331221_1	-5.1	99.7590981601078
1_31111121_1	-12.3	13.8880229580116
1_31111122_1	-12.6	31.6232476301755
1_31121121_1	-13.3	19.4890379570424
1_31121122_1	-13.3	29.2442827307291
1_31131122_2	-11.8	10.9662906631031
1_31131222_2	-11.7	34.4481957840176
1_31131223_1	-11.7	31.032001564719
1_31132112_2	-14	3.57113615291389
1_31211123_1	-12.2	28.7323878742814
1_31212113_1	-11.7	59.7040667296714
1_31222121_3	-11.9	34.5036811244751
1_31231122_1	-11.7	10.9624166399848
1_31231123_2	-11.8	44.6978899826209
1_31231223_1	-11.6	14.8392413885701
1_31321211_1	-12	35.5690842850158
1_31331121_1	-14.7	18.2306918749735
1_31331122_1	-12	76.9253806493658
1_31331123_1	-11.8	80.6151867167354
1_31331211_1	-11.8	56.6631314069929
1_31331221_1	-14.7	20.1166973565965
1_32131111_1	-10.6	21.2912528012388
1_32131121_2	-10.2	20.2041712082881
1_32131122_1	-11	14.988891748709
1_32131123_1	-8	36.1638071213907
1_32132113_2	-7.6	32.3650474424704
1_32211112_2	-9.3	71.1623340753337
1_32211122_1	-9	93.4246110683451
1_32232122_2	-9.4	94.756953100192
1_32311122_1	-8.7	91.2703274458177
1_32321221_2	-10.6	30.4547948474994
1_32331122_2	-9	93.8004799834307
1_32331221_3	-9.6	62.5568308266478
1_33111111_2	-6.1	39.1633794063077
1_33111212_1	-7.4	53.9723783076447
1_33121112_1	-7	90.6285971288446
1_33121211_2	-6	92.6492608392734
1_33121221_2	-6.3	72.5558780217723
1_33131112_1	-7.3	25.6310374140007
1_33131213_2	-6.5	54.3296382949076
1_33132122_1	-7.1	40.7693983646128
1_33221111_3	-5.7	17.879246614181
1_33221212_2	-6.9	86.9161403520102
1_33221221_1	-6.8	89.2358504340356
1_33231111_3	-7.2	64.1991375799642
1_33231121_1	-7.1	84.0668066398619
1_33231122_2	-6.8	72.8855205117822
1_33231223_2	-6.8	69.8406015369894
1_33311211_1	-6.7	72.8117771587896
1_33331121_1	-7.1	74.8396201336109
1_33331211_1	-7.4	57.4606900836143
1_33331212_2	-7.5	95.1173615103613
102_11111111_1	-12.3	43.1827313607158
102_11111112_1	-11.7	24.1177943391881
102_11111113_1	-11.6	13.653857087011
102_11111121_1	-11.8	49.5590871287869
102_11111122_1	-14.8	52.64998602563
102_11111123_1	-13.9	33.4861710860709
102_11111211_1	-13.9	82.4826441686898
102_11111212_1	-12	62.2198343159696
102_11111213_1	-14.2	18.1127569680072
102_11111221_2	-12.5	16.1877644231054
102_11111222_1	-12.4	48.4250112258899
102_11112112_1	-12.2	10.2501221394244
102_11112113_1	-12.7	27.0143916177378
102_11112123_1	-13.2	54.7431468098548
102_11121111_1	-12.3	13.059900711228
102_11121113_2	-13.6	10.3441818482669
102_11121121_1	-11.8	59.8477153964111
102_11121122_2	-12.2	14.6666018855059
102_11121123_1	-12.1	69.8078274896883
102_11121213_2	-12.2	22.353826839334
102_11121221_1	-13.2	69.4116470447872
102_11121222_1	-12.4	12.440571548961
102_11121223_1	-12.3	29.2553710073236
102_11122111_2	-15.6	29.1692423545003
102_11122112_1	-11.9	7.88348882837118
102_11122113_2	-12.6	26.6286416760382
102_11131111_1	-12.1	48.8552645059928
102_11131112_1	-15	63.3806460147666
102_11131211_2	-12.9	34.7509195730697
102_11131213_2	-13.9	5.80571246864128
102_11131221_1	-12.7	8.12707398828758
102_11131222_3	-11.6	82.4510500031111
102_11131223_1	-11.7	41.2440738135588
102_11132111_1	-12.6	65.9397811052732
102_11132113_3	-12.1	64.2608278612938
102_11211111_2	-11.7	63.5726361584792
102_11211112_2	-13.9	22.9354521180576
102_11211122_1	-11.8	44.8652105746492
102_11211123_1	-13.8	21.7216516089561
102_11211212_2	-13	13.1291462617999
102_11211213_1	-12.9	14.8479797807977
102_11211222_2	-12.5	75.5238451648769
102_11212112_1	-11.9	32.4543947419573
102_11212121_1	-13.9	66.6291906538033
102_11221112_3	-14.3	32.8858702162388
102_11221222_1	-12.8	63.0083408294019
102_11221223_2	-12.2	44.1108863842452
102_11222111_2	-11.9	21.709684784397
102_11231122_2	-11.9	78.151740775376
102_11231221_1	-12	34.542425626407
102_11232111_1	-13	14.8352809048983
102_11232121_1	-12.9	11.1485436201325
102_11311111_1	-12.6	42.3699428335048
102_11311112_1	-11.8	70.5224814386599
102_11311113_1	-11.7	23.6208336756636
102_11311121_2	-11.9	59.2809190995401
102_11311122_2	-12	90.8925260317879
102_11311213_1	-12.7	18.4283443445777
102_11311222_1	-14	15.2442343924111
102_11312113_1	-13.7	14.2269272821409
102_11312121_1	-11.7	73.067185175243
102_11321111_1	-11.7	13.4972179566718
102_11321113_3	-12.8	16.4165049295873
102_11321211_1	-12.1	28.5620865063349
102_11321213_2	-12.4	15.647482167944
102_11321223_2	-13.4	23.0159817845286
102_11322121_1	-14.6	10.1319159177434
102_11331112_2	-11.6	23.6284784783776
102_11331113_1	-12.1	48.9771615080015
102_11331121_1	-11.8	12.1812796673657
102_11331122_1	-14	43.940185234806
102_11331123_1	-12.6	42.3314258397566
102_11331223_1	-11.9	48.7927166902328
102_11332112_1	-12.4	38.9115473268327
102_11332113_1	-11.9	46.9833412055785
102_11332121_1	-11.9	53.3019137216496
102_11332122_1	-12.1	68.201839890597
102_11332123_2	-12.9	60.1935317747761
102_12111113_1	-8.4	83.3813076785667
102_12111122_3	-9.5	56.3586259431407
102_12111123_2	-9.8	82.2284432886609
102_12111221_2	-8.3	97.5628732378187
102_12111222_1	-8.2	42.7441548899501
102_12111223_1	-8.2	65.7145685269915
102_12112121_1	-7.8	67.6225379424763
102_12112122_1	-9.1	34.7283286616984
102_12121111_3	-8.2	31.5277024640859
102_12121113_1	-8.2	65.1006060084301
102_12121123_2	-8.1	38.8599659295914
102_12121222_2	-8.3	13.3371631019102
102_12121223_1	-9.1	72.1385532188412
102_12122113_1	-11	40.4130783955007
102_12122123_3	-9.7	58.9676130663641
102_12131111_1	-10.1	50.4793022549243
102_12131222_3	-11.1	22.3444385581929
102_12131223_1	-9.5	22.1465884501839
102_12211112_3	-8.6	92.9527390918611
102_12211123_2	-10.5	89.6690011613758
102_12211213_2	-11.1	12.8146220891784
102_12212121_3	-8.3	90.5432164501252
102_12221113_1	-8.5	50.4631175936156
102_12221121_1	-10	55.3863296417146
102_12221213_3	-8.6	32.6499606707097
102_12222112_3	-10.5	49.3770300710752
102_12222123_1	-7.7	82.3915809220214
102_12231112_3	-7.6	82.7415897000113
102_12231113_3	-9.5	75.195461007899
102_12231122_1	-7.7	83.659037783905
102_12232111_2	-7.7	65.9502890941429
102_12311111_1	-9.1	95.1771933138203
102_12311112_1	-7.9	61.519808404361
102_12311123_1	-7.7	97.9256269589529
102_12311221_2	-10.5	83.9008566503248
102_12312111_1	-7.8	61.2916870531025
102_12312112_1	-9.4	83.8009851372208
102_12312113_1	-9.6	88.1473872540115
102_12321123_2	-9.7	48.9495571052795
102_12321211_2	-10.6	69.6854583456919
102_12321213_1	-7.6	88.2948627784867
102_12322112_1	-8.2	92.6289874935363
102_12322113_3	-10.5	39.5163489606079
102_12331111_3	-8.2	NA
102_12331113_3	-9.7	39.5106184125249
102_12331123_3	-10	70.7610148719638
102_12331222_3	-7.7	50.5599557267216
102_12332112_1	-10.3	84.0446724585079
102_12332113_1	-8.9	37.0761924164355
102_12332122_1	-8	43.3980525115029
102_12332123_1	-8.3	82.1723734146894
102_13111122_2	-6.3	20.4715887944271
102_13111123_3	-5.9	77.104447806146
102_13111211_1	-5.6	15.2242802118733
102_13111221_1	-7.1	64.7444090269074
102_13111222_1	-7.2	40.4551920186439
102_13121121_2	-7.1	59.7611957191885
102_13131121_2	-6.9	22.9497894947997
102_13131211_1	-7.1	80.8839524335868
102_13132121_1	-7.5	85.1117861601413
102_13132123_2	-7.5	68.4642256867829
102_13211111_2	-7	76.0552726969873
102_13211123_1	-6.9	87.6311874663832
102_13211221_1	-5.9	94.5771121272525
102_13212111_2	-7	57.1806295488246
102_13212121_2	-4.3	98.7009463997223
102_13221111_3	-5.3	45.0080477330419
102_13221121_2	-6.8	81.6057908234648
102_13222121_3	-5.3	92.5766543708696
102_13231123_1	-7.3	27.5689611086982
102_13311111_1	-6.3	61.8392213691297
102_13311112_1	-7.4	89.2125762148467
102_13311113_1	-7.2	54.4459381301369
102_13311211_1	-7	84.5429872524673
102_13311213_1	-7	80.7025044677241
102_13311223_1	-5.3	74.3115686620855
102_13312111_1	-7.1	77.70943391608
102_13312112_3	-6.6	92.9623096220278
102_13312113_1	-6.3	95.8582793916473
102_13312123_1	-6.7	86.5696789141463
102_13321113_1	-6.3	90.5178509478831
102_13321123_3	-6.7	56.0944859552754
102_13321211_3	-7.3	50.0616078964512
102_13321221_1	-6.6	96.2048307503943
102_13322113_1	-6.5	79.8004438392621
102_13322121_2	-6.6	73.6049803779259
102_13331111_3	-6.9	86.8827238094817
102_13331211_1	-5.7	2.15524877475857
102_13331212_2	-7	53.8398669943444
102_13331222_2	-6.8	90.5616260872855
102_13331223_2	-5.3	83.3391852232268
102_13332121_1	-6.4	92.8621626291956
102_21111111_3	-13.9	16.8169498142879
102_21111221_2	-12	32.752762099864
102_21112111_1	-13.3	12.6614435950091
102_21121121_2	-14.6	84.7818256633719
102_21121123_1	-15.7	13.4463993132358
102_21122112_3	-13.5	34.4876640172805
102_21131221_1	-11.6	26.0262096538186
102_21132123_2	-16	34.1632693430571
102_21212122_3	-12.6	24.8938479393463
102_21212123_2	-12.1	20.7813638434442
102_21231121_2	-11.9	29.0787471796611
102_21232123_3	-11.9	49.9217528653735
102_21311113_1	-11.9	59.2649682507122
102_21311122_2	-11.8	28.9505458809305
102_21321223_3	-16.2	11.1246629367616
102_21322113_2	-12.5	10.1594364861803
102_21332111_3	-12.4	10.33629318158
102_22111223_2	-10.6	40.1374737146281
102_22121123_2	-7.7	66.5034178865046
102_22131113_3	-8.2	30.7574324235191
102_22211111_1	-8.3	86.0324529040957
102_22211123_3	-8.1	91.1310269159677
102_22311111_3	-10.4	63.448135741767
102_22312111_2	-11.3	29.5485064242851
102_22321121_2	-9.7	75.175326846301
102_22321213_2	-8	NA
102_22332113_2	-8.9	87.4006017746591
102_23111113_2	-7.2	67.2679831448219
102_23111123_1	-6.9	65.5871926817419
102_23111222_1	-7	48.0794163892468
102_23111223_1	-7.3	64.8279537275079
102_23121123_3	-6.8	70.877020019915
102_23121211_3	-7.5	97.9418801616862
102_23131111_2	-7.1	69.3636989035447
102_23131123_1	-6.3	1
102_23132123_2	-6.9	57.3942165632468
102_23211223_1	-7.1	91.6107770255166
102_23212122_2	-6.2	92.3146315282916
102_23222123_2	-6.9	34.090495195957
102_23231123_2	-6.9	85.4492121279265
102_23231222_3	-7	97.1947741467122
102_23311113_2	-7.5	78.0856932067867
102_23311121_1	-6.9	95.5870989709942
102_23311221_1	-7.3	85.0320196851442
102_23312113_2	-7.3	90.201655670561
102_23312121_2	-6.6	90.9099551637294
102_23331221_3	-6.5	99.8730983159031
102_31111112_1	-14.3	36.7120164089242
102_31111211_1	-11.9	33.1442572558407
102_31112123_1	-12.9	59.6133073782289
102_31121223_1	-12.2	27.7182844247144
102_31122121_2	-12	24.2429186833937
102_31131111_1	-11.6	52.097385078284
102_31211112_2	-12.9	39.6278798808303
102_31211212_1	-12.1	23.6022456403052
102_31311223_1	-12.4	49.0630844586061
102_31312112_2	-12	23.0313142922198
102_31312122_2	-11.8	82.053820440326
102_31321111_2	-12.6	30.0038411325526
102_31331111_1	-13.4	45.1906030996184
102_31331123_2	-13.2	10.4019334883219
102_31332112_2	-13	8.54788217005614
102_31332113_2	-12.8	40.1060144110862
102_32111223_2	-11.3	51.1305159788381
102_32112122_1	-11.3	31.6736946670932
102_32131221_1	-10.4	25.2955600897121
102_32211111_3	-10.2	69.1435812244844
102_32311213_1	-7.6	46.6287847539902
102_32311222_2	-11.4	89.9317684567363
102_32331221_1	-8.5	52.6659947492424
102_32332112_3	-9.7	78.2250536007325
102_32332122_1	-8.4	78.1087911963805
102_33111111_1	-6.8	66.8054286928743
102_33111121_2	-6.3	93.8988494187474
102_33111221_1	-5	99.1204525319026
102_33121221_1	-7.2	8.66697178533894
102_33121222_1	-7.4	49.1682813632835
102_33122113_2	-6.4	64.8281782277048
102_33211111_2	-7.5	39.6233091587093
102_33211112_2	-6.9	96.8547828168915
102_33211113_2	-6.7	16.3387422451453
102_33211121_1	-7.1	72.0563389377341
102_33211212_1	-7.4	35.6450530049284
102_33311113_1	-7.2	36.2770939280836
102_33311211_2	-7.3	56.7985280029175
102_33311213_1	-7.5	91.8876287431005
102_33321113_3	-5.6	52.8589900149871
102_33321122_2	-7.2	98.3673052909866
102_33321123_1	-6.9	87.4926966079964
102_33321213_1	-6.1	78.7166205604231
102_33322121_3	-6.7	46.9822801566072
102_33322123_1	-6.8	90.2438075224198
102_33331113_2	-7.2	84.4816968945008
102_33332113_2	-7.5	45.4670306273215
117_11111111_1	-13.2	7.16050264385412
117_11111112_1	-12.9	6.34021146037815
117_11111113_1	-14	23.534252968003
117_11111121_1	-12.8	29.8555737349164
117_11111122_1	-14	33.9778542502844
117_11111211_1	-12.2	27.3901499352947
117_11111221_1	-12.9	34.0137399248549
117_11112111_1	-12.1	33.2584585631068
117_11112112_1	-12.1	52.0211580297935
117_11112121_1	-12	51.2850277190676
117_11112123_1	-11.7	5.06507719815792
117_11121112_1	-12.1	30.3546536351111
117_11121122_1	-13.2	58.3479394542198
117_11121123_1	-12.7	49.2546289910916
117_11121211_1	-13.4	7.81970717575948
117_11122121_3	-12.4	18.3062092706685
117_11122122_1	-11.7	38.7831258253446
117_11131111_2	-11.7	50.2041715211325
117_11131112_2	-12.1	15.0171878099069
117_11131113_1	-11.6	44.7255146864427
117_11131121_1	-11.7	30.9711552432863
117_11131123_1	-12.7	33.531527646303
117_11132111_1	-12	51.975985715099
117_11132113_1	-12.3	1.5848275063933
117_11132123_1	-12.4	18.7892829298759
117_11211111_3	-11.6	37.8620506648534
117_11211113_1	-11.6	38.237096714613
117_11211122_2	-11.8	40.4809924086285
117_11211211_1	-12	23.9160981199091
117_11212111_1	-11.8	22.8230573865132
117_11212112_1	-15	58.346032525219
117_11212113_1	-12	45.0607629841016
117_11212121_2	-13.6	24.3062833119397
117_11212122_1	-12.2	27.3554814448075
117_11221112_3	-11.8	36.3988302874635
117_11221121_3	-12.3	26.2337651786707
117_11221123_1	-11.8	66.5520465527453
117_11221223_1	-12.3	34.0231792546635
117_11222113_1	-11.6	38.9574915464665
117_11222122_2	-11.9	26.2957880008836
117_11231112_1	-12.7	7.72533905933405
117_11231113_1	-11.8	19.1154676654233
117_11231122_1	-11.6	60.2720249253146
117_11231123_1	-11.8	NA
117_11231213_1	-12.1	68.7477630716955
117_11231221_3	-14	16.1511425051847
117_11231223_1	-11.8	72.7183939497114
117_11232112_2	-13.4	9.29283569476291
117_11232113_1	-13.1	18.1551825615836
117_11232123_1	-13.8	45.3791354903422
117_11311111_1	-14	23.8184769664716
117_11311112_1	-11.6	36.9733629000539
117_11311113_2	-12.7	37.2124058324128
117_11311121_1	-11.6	56.5932236682729
117_11311122_1	-11.6	23.8105337834149
117_11311213_2	-11.9	15.5231825248118
117_11311221_1	-13	51.373232735053
117_11312112_1	-11.6	41.5858320643548
117_11321221_2	-14.2	27.8404549986849
117_11322122_1	-14.2	28.7953776598923
117_11331111_2	-11.8	27.2228176607202
117_11331123_1	-11.9	17.3941076436799
117_11331222_2	-11.9	50.0982576415617
117_11332111_3	-12.2	39.0911516070794
117_11332112_1	-13.2	6.75776666380957
117_11332121_2	-16.3	8.17825750547008
117_12111211_1	-9.8	14.0901844365829
117_12111212_3	-7.7	55.1878885912463
117_12111213_3	-10.2	24.3438462397566
117_12111222_1	-8	60.5984025892802
117_12111223_1	-8.1	35.253980996093
117_12112113_2	-9.6	45.6840729155003
117_12112123_2	-8.9	92.6070322619894
117_12121112_1	-9.2	16.0436758098747
117_12121121_2	-7.7	28.3336621273345
117_12121211_2	-11.2	15.3358864098886
117_12121221_3	-8.9	62.4953881474081
117_12122111_2	-9.1	52.4111698632166
117_12122112_2	-8.9	NA
117_12122113_2	-8.1	26.8596681860318
117_12122122_1	-10.4	53.3816708912538
117_12122123_1	-9.1	78.4716297965763
117_12131113_1	-8.9	23.4713429552285
117_12131121_3	-10.5	NA
117_12131122_2	-7.9	21.4376186168611
117_12131213_1	-10.9	34.0277068592058
117_12132112_1	-9.2	26.1836662031647
117_12132113_1	-7.9	8.3084744742497
117_12132121_2	-8.4	30.891322922395
117_12211211_2	-8.4	34.4955123401369
117_12211212_2	-8.6	14.5893972535122
117_12211213_1	-10.1	20.5580707961352
117_12212112_3	-8.5	33.72016871424
117_12212123_1	-7.9	64.8852604580049
117_12221112_2	-10.4	45.7758770810908
117_12221123_3	-9	42.4730950412915
117_12221222_1	-8.4	56.1654777809658
117_12231211_2	-7.8	19.1124144134256
117_12232112_2	-8.4	15.1943189627021
117_12232113_2	-10.3	51.0432688668473
117_12232123_2	-8.3	22.8526704175781
117_12311111_2	-8.5	20.6254992495867
117_12311121_3	-7.6	68.195443008574
117_12311123_1	-8.8	25.7359659250173
117_12312111_1	-8.2	77.3394283821959
117_12312121_1	-9.3	62.4387232512703
117_12312122_2	-10.3	52.1203848959645
117_12312123_1	-9.6	52.124820551947
117_12321211_3	-7.8	36.9235669631677
117_12322123_2	-7.8	70.9193882601646
117_12331112_1	-7.9	66.6221854849862
117_12331123_1	-10.7	16.9532595071826
117_12332112_3	-9.9	58.4474172301056
117_12332121_1	-10.2	39.3585022278044
117_13111111_2	-6.3	28.7933668059919
117_13111112_2	-4.4	81.9401437339541
117_13111211_1	-5.9	36.7565364337417
117_13111213_1	-6.1	87.7690030669127
117_13111222_3	-7.1	48.210933455991
117_13112122_2	-3.5	34.9782284024103
117_13122123_3	-6.4	86.1434727644108
117_13131112_1	-7.3	19.3439355247638
117_13131113_1	-7.4	16.4062170754771
117_13131122_2	-7.1	10.0639244821748
117_13131211_3	-7.4	15.7083201633887
117_13131213_1	-5.8	9.64461168199406
117_13132112_1	-7.5	12.8187560151883
117_13132122_1	-6.4	24.6937419303671
117_13211111_2	-7.1	41.2341635015956
117_13211211_1	-7.5	63.4707607230198
117_13211223_1	-6.4	93.3600279259574
117_13221222_2	-6.8	32.8873253113677
117_13222112_2	-7.5	76.0087703014587
117_13231212_2	-4.1	86.5075353729043
117_13231223_1	-7.1	31.1845274724927
117_13232113_1	-4.8	77.237748875192
117_13311111_2	-6.6	60.3190814368335
117_13311112_1	-6.9	52.9132088783585
117_13311123_2	-7.4	80.4032691381541
117_13311211_2	-6.8	80.0161745568298
117_13311221_2	-5.6	90.6803600436063
117_13312112_1	-7.4	41.7455977994236
117_13312121_2	-5.2	65.7130448850852
117_13321112_2	-5.9	44.8526683549742
117_13321113_3	-6.8	64.2949331279172
117_13321211_2	-5.2	64.834449931266
117_13321212_2	-6.8	37.743284794003
117_13321222_2	-6.4	59.1831516255909
117_13331111_3	-4.8	99.6797063359442
117_13331113_2	-4.4	60.0545091773118
117_13331213_1	-4.6	99.5371362607212
117_13332111_1	-7.1	59.8672182603058
117_13332122_1	-5.9	55.3815627246313
117_21111223_1	-12.5	36.9305214539142
117_21112112_2	-12.2	12.5937632504994
117_21121112_3	-14.1	6.27852495355191
117_21131123_2	-12.1	41.6298720930222
117_21131212_2	-11.6	30.2366847480886
117_21132122_3	-13.8	33.7987047133402
117_21231123_2	-12	41.429975236392
117_21311122_2	-12.2	31.2912192577976
117_21311212_2	-13.5	8.29827336349424
117_21312112_1	-12.2	29.4755447720468
117_21321122_3	-12.5	16.9375159922484
117_21321212_3	-12.2	32.1472444763119
117_21322112_3	-11.9	22.9621141251258
117_21331213_2	-11.7	5.98580940984517
117_21331222_3	-12.4	26.6238336505024
117_21332113_1	-12.1	8.76889165712715
117_21332121_3	-12.2	25.8742955338693
117_21332122_2	-11.9	17.9923768868362
117_21332123_3	-11.8	33.1207759874
117_22122121_2	-7.9	29.7242634226224
117_22131111_2	-8	15.6522494858989
117_22131222_2	-11.2	37.1866142231774
117_22131223_3	-11.2	34.6760164636579
117_22212113_3	-7.8	32.0352446372975
117_22212123_1	-7.7	72.2321894427836
117_22311111_1	-9.3	25.9684740540348
117_22311123_1	-7.7	99.9165477684356
117_22312112_3	-8.5	57.515251544655
117_22322122_2	-7.8	62.1155000940834
117_22331122_3	-7.8	51.4129725336247
117_22331222_1	-7.8	65.8611653590973
117_23111212_3	-7.3	25.4975610741378
117_23121112_3	-7.3	33.519842425947
117_23131112_2	-7.1	13.7269350199881
117_23131113_2	-7.2	16.9812363477406
117_23132112_3	-6	25.8043619755851
117_23232113_3	-6.2	33.3619829787986
117_23232122_2	-6.2	42.9454967920423
117_23311111_1	-7.3	40.583665733387
117_23311211_3	-7.3	35.05533238921
117_23312113_1	-5.6	69.2729523669374
117_23312122_3	-6.6	75.01795735397
117_23321212_3	-7.4	32.2183418038866
117_23331112_2	-7.3	42.3438716187141
117_31111122_2	-11.6	33.5086518239935
117_31112112_1	-12.3	36.7073084894999
117_31112113_3	-12	22.9067322617573
117_31122112_1	-13.5	18.608785887885
117_31211212_1	-13.6	4.45254269699694
117_31212112_2	-13.2	7.42887656576246
117_31311121_1	-13.7	13.4063593748331
117_31312122_1	-15	2.77744684387924
117_31331113_2	-12.2	20.4686418968149
117_31332121_1	-11.6	36.4888641533992
117_31332123_2	-11.6	30.0717224479965
117_32121112_2	-9.1	2.33370562140761
117_32121221_3	-10	65.0081412754038
117_32132112_1	-9.7	12.5289174684235
117_32132122_3	-8.1	9.78055715521158
117_32311112_3	-9.1	77.7987644399971
117_32321112_2	-7.6	45.2480305573159
117_32331112_3	-8.3	27.9274920942559
117_32331113_2	-8.8	20.890495360785
117_32331222_1	-8.6	12.121437938087
117_32331223_2	-8.6	17.3411388611156
117_33111121_1	-6	76.4411212780197
117_33111122_2	-7.1	23.9918360918637
117_33111212_2	-5.7	30.9487076494317
